PT,SO,AU,TI,VL,PY,AB,Relevance to article,species,common name,Class,Methods,Method classification,Notes,Read?,Personality,Mate choice and Sexual selection,Reproduction and Fecundity,Parental Care,Communication,Foraging,Predator avoidance,Locomotion,Migration,Life history,Social behavior,Cooperation,Learning,Plasticity,Phenotypic gambit,IGE,GxE,Human
 J, CURRENT BIOLOGY," Hopkins, WD   Russe, JL   Schaeffer, JAF Hopkins, William D.   Russe, Jamie L.   Schaeffer, Jennifer", Chimpanzee Intelligence Is Heritable,24,2014," The role that genes play in human intelligence or IQ has remained a point of significant scientific debate dating back to the time of Galton [1]. It has now become increasingly clear that IQ is heritable in humans, but these effects can be modified by nongenetic mechanisms [2-4]. In contrast to human IQ, until recently, views of learning and cognition in animals have largely been dominated by the behaviorist school of thought, originally championed by Watson [5] and Skinner [6]. A large body of accumulated research now demonstrates a variety of cognitive abilities in nonhuman animals and challenges traditional behaviorist interpretations of performance [7, 8]. This, in turn, has led to a renewed interest in the role that social and biological factors might play in explaining individual and phylogenetic differences in cognition [9]. Specifically, aside from early attempts to selectively breed for learning skills in rodents [10-12], studies examining the role that genetic factors might play in individual variation in cognitive abilities in nonhuman animals, particularly nonhuman primates, are scarce. Here, we utilized a modified Primate Cognitive Test Battery [13] in conjunction with quantitative genetic analyses to examine whether cognitive performance is heritable in chimpanzees. We found that some but not all cognitive traits were significantly heritable in chimpanzees. We further found significant genetic correlations between different dimensions of cognitive functioning, suggesting that the genes that explain the variability of one cognitive trait might also explain that of other cognitive traits.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, ECOLOGY AND EVOLUTION," Roff, DA   Fairbairn, DJAF Roff, Derek A.   Fairbairn, Daphne J.", The evolution of phenotypes and genetic parameters under preferential   mating,4,2014," This article extends and adds more realism to Lande's analytical model for evolution under mate choice by using individual-based simulations in which females sample a finite number of males and the genetic architecture of the preference and preferred trait evolves. The simulations show that the equilibrium heritabilities of the preference and preferred trait and the genetic correlation between them (r(G)), depend critically on aspects of the mating system (the preference function, mode of mate choice, choosiness, and number of potential mates sampled), the presence or absence of natural selection on the preferred trait, and the initial genetic parameters. Under some parameter combinations, preferential mating increased the heritability of the preferred trait, providing a possible resolution for the lek paradox. The Kirkpatrick-Barton approximation for rG proved to be biased downward, but the realized genetic correlations were also low, generally <0.2. Such low values of r(G) indicate that coevolution of the preference and preferred trait is likely to be very slow and subject to significant stochastic variation. Lande's model accurately predicted the incidence of runaway selection in the simulations, except where preferences were relative and the preferred trait was subject to natural selection. In these cases, runaways were over-or underestimated, depending on the number of males sampled. We conclude that rapid coevolution of preferences and preferred traits is unlikely in natural populations, but that the parameter combinations most conducive to it are most likely to occur in lekking species.",theoretical and simulation model of preference and preferred traits - find that preferential mating can increase heritability of the preferred trait,,,,model,,more realistic extension of Land'es model,yes,,x,,,,,,,,,,,,,,,,not human
 J, JOURNAL OF ANIMAL ECOLOGY," Robertsen, G   Armstrong, JD   Nislow, KH   Herfindal, I   McKelvey, S   Einum, SAF Robertsen, Grethe   Armstrong, John D.   Nislow, Keith H.   Herfindal, Ivar   McKelvey, Simon   Einum, Sigurd", Spatial variation in the relationship between performance and metabolic   rate in wild juvenile Atlantic salmon,83,2014," Maintenance of metabolic rate (MR, the energy cost of self-maintenance) is linked to behavioural traits and fitness and varies substantially within populations. Despite having received much attention, the causes and consequences of this variation remain obscure. Theoretically, such within-population variation in fitness-related traits can be maintained by environmental heterogeneity in selection patterns, but for MR, this has rarely been tested in nature. Here, we experimentally test whether the relationship between MR and performance can vary spatially by assessing survival, growth rate and movement of Atlantic salmon (Salmo salar L.) juveniles from 10 family groups differing in MR (measured as egg metabolism) that were stocked in parallel across 10 tributaries of a single watershed. The relationship between MR and relative survival and growth rate varied significantly among tributaries. Specifically, the effect of MR ranged from negative to positive for relative survival, whereas it was negative for growth rate. The association between MR and movement was positive and did not vary significantly among tributaries. These results are consistent with a fitness cost of traits associated with behavioural dominance that varies across relatively small spatial scales (within a single watershed). More generally, our results support the hypothesis that spatial heterogeneity in environmental conditions contributes to maintain within-population variation in fitness-related traits, such as MR.",metabolic rate was positively associated with movement - consistent with fitness cost of traits associated with behavioural dominance,Salmo salar,Atlantic salmon,Actinopterygii,10 family groups,full-sib,spatial heterogeneity in environmental conditions maintains within population variation. not super relevant,no,,,,,,,,x,,,,,,,,,,not human
 J, JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH," Hayiou-Thomas, ME   Dale, PS   Plomin, RAF Hayiou-Thomas, Marianna E.   Dale, Philip S.   Plomin, Robert", Language Impairment From 4 to 12 Years: Prediction and Etiology,57,2014," Purpose: The authors of this article examined the etiology of developmental language impairment (LI) at 4 and 12 years of age, as well as the relationship between the 2.   Method: Phenotypic and quantitative genetic analyses using longitudinal data from the Twins Early Development Study (Oliver & Plomin, 2007) were conducted. A total of 2,923 pairs of twins (1,075 monozygotic [MZ]; 975 dizygotic same sex [DZss]; and 873 dizygotic opposite sex [DZos]) provided data at 4 and 12 years. At 4 years, (a) psychometric LI was defined on the basis of a low parent-reported expressive vocabulary score (-1.25 SDs; 226 MZand 115 DZss probands for genetic analysis); and (b) parent referral was defined as having seen a medical professional or speech-language pathologist following parental concern (112 MZ and 104 DZss probands). The 12-year language measure was a composite of 4 web-administered receptive language tests.   Results: (a) Psychometric LI at 4 years is more predictive than parent referral of poor language performance at age 12 years, and (b) parent referral is substantially and significantly more heritable than psychometric LI.   Conclusions: Parents' concern about their child's language development seems to be the marker of a more heritable disorder than poor expressive language skills alone. However, the language difficulties that arouse parental concern in preschool children, although more heritable, are not predictive of language difficulties in early adolescence. Rather, poor expressive language skills at age 4 years, psychometrically defined, are a better predictor than parent referral of continuing language difficulties at age 12 years.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY," Yu, WQ   Ackert-Bicknell, C   Larigakis, JD   MacIver, B   Steers, WD   Churchill, GA   Hill, WG   Zeidel, MLAF Yu, Weiqun   Ackert-Bicknell, Cheryl   Larigakis, John D.   MacIver, Bryce   Steers, William D.   Churchill, Gary A.   Hill, Warren G.   Zeidel, Mark L.", Spontaneous voiding by mice reveals strain-specific lower urinary tract   function to be a quantitative genetic trait,306,2014," Lower urinary tract (LUT) symptoms become prevalent with aging and affect millions; however, therapy is often ineffective because the etiology is unknown. Existing assays of LUT function in animal models are often invasive; however, a noninvasive assay is required to study symptom progression and determine genetic correlates. Here, we present a spontaneous voiding assay that is simple, reproducible, quantitative, and noninvasive. Young female mice from eight inbred mouse strains (129S1/SvImJ, A/J, C57BL/6J, NOD/ShiLtJ, NZO/H1LtJ, CAST/EiJ, PWK/PhJ, and WSB/EiJ) were tested for urination patterns on filter paper. Repeat testing at different times of the day showed minimal within-individual and within-strain variations, but all parameters (spot number, total volume, percent area in primary void, corner voiding, and center voiding) exhibited significant variations between strains. Calculation of the intraclass correlation coefficient, an estimate of broad-sense heritability, for each time of day and for each voiding parameter revealed highly significant heritability [spot number: 61%, percent urine in primary void: 90%, and total volume: 94% (afternoon data)]. Cystometrograms confirmed strong strain-specific urodynamic characteristics. Behavior-voiding correlation analysis showed no correlation with anxiety phenotypes. Diagnostically, the assay revealed LUT symptoms in several systems, including a demonstration of voiding abnormalities in older C57BL/6J mice (18-24 mo), in a model of protamine sulfate-induced urothelial damage and in a model of sucrose-induced diuresis. This assay may be used to derive pathophysiological LUT readouts from mouse models. Voiding characteristics are heritable traits, opening the way for genetic studies of LUT symptoms using outbred mouse populations.",not relevant,Mus musculus,mouse,Mammalia,describes an assay or UTI symptoms in mice,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY," Kortet, R   Vainikka, A   Janhunen, M   Piironen, J   Hyvarinen, PAF Kortet, Raine   Vainikka, Anssi   Janhunen, Matti   Piironen, Jorma   Hyvarinen, Pekka", Behavioral variation shows heritability in juvenile brown trout Salmo   trutta,68,2014," Animal personalities (sometimes referred also as coping styles) and their fitness consequences are currently among the most intensively explored subjects in behavioral ecology. To estimate the evolvability and adaptability of individually consistent behavioral variation, there is a crucial need to quantify the genetics underlying personality. Here, we experimentally studied the repeatability of various individual behaviors and then estimated heritability of formed boldness, exploration, and aggression components in juvenile brown trout Salmo trutta in standardized laboratory environment. Principal component analysis indicated that individually recorded behaviors were described by two personality axes: the first reflecting boldness, exploration, and aggression and the second tendency to freeze. These personality components, as well as the originally recorded behaviors, were statistically significantly repeatable over time. The latter PC, but not the first one, was statistically significantly heritable, though at low level (h (2) = 0.142 +/- 0.096). These results suggest that additive genetic variation underlies phenotypically consistent behavioral patterns, proposing that any selection acting on behavior, stress tolerance, or correlated traits has a potential to induce evolution in fish personality.","estimated heritability and repeatability of boldness, exploration and aggression. Two personality axes reflect boldness exploration and agression and a second describes tendency to freeze. Additive genetic variation underlies personality",Salmo trutta,brown trout,Actinopterygii,standardized lab environment,full-factorial half-sib,h2 = 0.142 +/- 0.096,no,x,,,,,,,,,,,,,,,,,not human
 J, BEHAVIOR GENETICS," Martin, NAF Martin, Nick", Lindon Eaves: The Astonishing Decade,44,2014," The contributions of Lindon Eaves to the development of the subject of behavior genetics are reviewed, with a focus on the 1970s, the first astonishing decade of his career when he made major theoretical advances in the design and power of human quantitative genetic studies, including treatment of assortative mating, cultural transmission, sex limitation, sibling effects, gene-environment interaction and covariation, and multivariate genetic analysis. He also made important substantive contributions to our understanding of the causes of individual differences in cognition, personality, social and sexual attitudes, and smoking.",not relevant,,,,review,,,,,,,,,,,,,,,,,,,,,human
 J, VETERINARY CLINICS OF NORTH AMERICA-SMALL ANIMAL PRACTICE," Overall, KL   Tiira, K   Broach, D   Bryant, DAF Overall, Karen L.   Tiira, Katriina   Broach, Desiree   Bryant, Deborah", Genetics and Behavior: A Guide for Practitioners,44,2014," Phenotyping behavior is difficult, partly because behavior is almost always influenced by environment. Using objective terms/criteria to evaluate behaviors is best; the more objective the assessment, the more likely underlying genetic patterns will be identified. Behavioral pathologies, and highly desirable behavioral characteristics/traits, are likely complex, meaning that multiple genes are probably involved, and therefore simple genetic tests are less possible. Breeds can be improved using traditional quantitative genetic methods; unfortunately, this also creates the possibility of inadvertently selecting for covarying undesirable behaviors. Patterns of behaviors within families and breed lines are still the best guidelines for genetic counseling in dogs.",discussion of improving breeds with quantitative genetics but possibly inadvertently selects for covarying undesirable behaviors,,,,review,,not particularly relevant,no,x,,,,,,,,,,,,,,,,,not human
 J, PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES," Fraser, BA   Janowitz, I   Thairu, M   Travis, J   Hughes, KAAF Fraser, Bonnie A.   Janowitz, Ilana   Thairu, Margaret   Travis, Joseph   Hughes, Kimberly A.", Phenotypic and genomic plasticity of alternative male reproductive   tactics in sailfin mollies,281,2014," A major goal of modern evolutionary biology is to understand the causes and consequences of phenotypic plasticity, the ability of a single genotype to produce multiple phenotypes in response to variable environments. While ecological and quantitative genetic studies have evaluated models of the evolution of adaptive plasticity, some long-standing questions about plasticity require more mechanistic approaches. Here, we address two of those questions: does plasticity facilitate adaptive evolution? And do physiological costs place limits on plasticity? We examine these questions by comparing genetically and plastically regulated behavioural variation in sailfin mollies (Poecilia latipinna), which exhibit striking variation in plasticity for male mating behaviour. In this species, some genotypes respond plastically to a change in the social environment by switching between primarily courting and primarily sneaking behaviour. In contrast, other genotypes have fixed mating strategies (either courting or sneaking) and do not display plasticity. We found that genetic and plastic variation in behaviour were accompanied by partially, but not completely overlapping changes in brain gene expression, in partial support of models that predict that plasticity can facilitate adaptive evolution. We also found that behavioural plasticity was accompanied by broader and more robust changes in brain gene expression, suggesting a substantial physiological cost to plasticity. We also observed that sneaking behaviour, but not courting, was associated with upregulation of genes involved in learning and memory, suggesting that sneaking is more cognitively demanding than courtship.","does plasticity facilitate adaptive evolution and do physiological costs place limits on plasticity? Switch between sneaking and courting in some genotypes but others have fixed mating behaviors. Partially overlapping changes in brain gene expression, and found behavioral plasticity had more robust changes in gene expression, suggsting a cost to plasticity. sneaking may be more cognitively demanding than courtship",Poecilia latipinna,sailfin molly,Actinopterygii,gene expression analysis,other,not precisely quantiative genetics ,later,,x,,,,,,,,,,,x,x,,,,not human
 J, CELL STEM CELL," Wu, CF   Li, B   Lu, R   Koelle, SJ   Yang, YQ   Jares, A   Krouse, AE   Metzger, M   Liang, F   Lore, K   Wu, CO   Donahue, RE   Chen, ISY   Weissman, I   Dunbar, CEAF Wu, Chuanfeng   Li, Brian   Lu, Rong   Koelle, Samson J.   Yang, Yanqin   Jares, Alexander   Krouse, Alan E.   Metzger, Mark   Liang, Frank   Lore, Karin   Wu, Colin O.   Donahue, Robert E.   Chen, Irvin S. Y.   Weissman, Irving   Dunbar, Cynthia E.", Clonal Tracking of Rhesus Macaque Hematopoiesis Highlights a Distinct   Lineage Origin for Natural Killer Cells,14,2014," Analysis of hematopoietic stem cell function in nonhuman primates provides insights that are relevant for human biology and therapeutic strategies. In this study, we applied quantitative genetic barcoding to track the clonal output of transplanted autologous rhesus macaque hematopoietic stem and progenitor cells over a time period of up to 9.5 months. We found that unilineage short-term progenitors reconstituted myeloid and lymphoid lineages at 1 month but were supplanted over time by multilineage clones, initially myeloid restricted, then myeloid-B clones, and then stable myeloid-B-T multilineage, long-term repopulating clones. Surprisingly, reconstitution of the natural killer (NK) cell lineage, and particularly the major CD16(+)/CD56(-) peripheral blood NK compartment, showed limited clonal overlap with T, B, or myeloid lineages, and therefore appears to be ontologically distinct. Thus, in addition to providing insights into clonal behavior over time, our analysis suggests an unexpected paradigm for the relationship between NK cells and other hematopoietic lineages in primates.",not relevant,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY," Brendgen, MAF Brendgen, Mara", Introduction to the Special Issue The Interplay Between Genetic Factors   and the Peer Environment in Explaining Children's Social Adjustment,60,2014," Virtually all aspects of human development are subject to both genetic (i. e., heritable) and environmental influences that conjointly shape developmental outcomes through various mechanisms of gene-environment interplay. This special issue presents new research examining how the peer environment works together with genetic factors to influence children's and adolescents' social development. To this end, three studies utilize a quantitative genetic approach, whereas two others use molecular genetic methodologies. Covering a wide age range from early childhood to early adulthood, the studies examine different processes of gene-environment correlation and gene-environment interaction while focusing on dyadic and group-based peer experiences (e. g., friendships, peer acceptance, and peer victimization) as well as on positive and negative aspects of social development (e. g., prosocial leadership and aggression). Overall, the findings from the studies in this special issue clearly illustrate that we need to consider how genetics and the peer environment effects work together if we are to gain a more complete picture of children's and adolescents' social development.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY," Beaver, KM   Boutwell, BB   Barnes, JC   Schwartz, JA   Connolly, EJAF Beaver, Kevin M.   Boutwell, Brian B.   Barnes, J. C.   Schwartz, Joseph A.   Connolly, Eric J."," A Quantitative Genetic Analysis of the Associations Among Language   Skills, Peer Interactions, and Behavioral Problems in Childhood: Results   From a Sample of Twins",60,2014," A body of empirical research has revealed that there are associations among language skills, peer interactions, and behavioral problems in childhood. At the same time, however, there has been comparatively less research devoted to exploring the mutual unfolding of these factors over the first few years of life. The current study is designed to partially address this gap in the literature by examining how language skills, negative peer interactions, and behavioral problems are interrelated in a sample of twins drawn from the Early Childhood Longitudinal Study-Birth Cohort (ECLS-B). Employing a quantitative genetic framework, the results of the current study revealed that variance in language skills, negative peer interactions, and externalizing behavioral problems were all due to a combination of genetic and environmental factors. Bivariate Cholesky models indicated that most of the covariance among language skills, negative peer interactions, and externalizing behavioral problems was due to common genetic factors. Additional analyses using a modified DeFries-Fulker approach nested within a path model revealed a bidirectional association between negative peer interactions and externalizing behavioral problems, wherein there appeared to be feedback loops between the two. Implications of the results are discussed and avenues for future research are offered.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, CRIMINAL JUSTICE AND BEHAVIOR," Beaver, KM   Boutwell, BB   Barnes, JCAF Beaver, Kevin M.   Boutwell, Brian B.   Barnes, J. C.", Social Support or Biosocial Support? A Genetically Informative Analysis   of Social Support and Its Relation to Self-Control,41,2014," There is growing interest in examining whether the findings generated from biosocial studies of crime can be integrated into existing criminological theories. To this point, however, not much empirical research has focused on this possibility. The current study addresses this gap in the literature by examining the nexus between biosocial criminology and the social support perspective as it relates to levels of self-control. To do so, a sample of twin pairs from the National Longitudinal Study of Adolescent Health (Add Health) was analyzed using quantitative genetic analyses. The analyses revealed three key findings. First, genetic factors account for about 50% of the variance in measures of social support. Second, the covariance between social support and self-control is largely due to a common genetic pathway. Third, even after holding genetic influences constant, social support has a significant effect on levels of self-control.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, PHYSICAL REVIEW E," Garcia, GA   Cohen, SIA   Dobson, CM   Knowles, TPJAF Garcia, Gonzalo A.   Cohen, Samuel I. A.   Dobson, Christopher M.   Knowles, Tuomas P. J.", Nucleation-conversion-polymerization reactions of biological   macromolecules with prenucleation clusters,89,2014," The self-assembly of biomolecules, such as peptides and proteins, into filaments is conventionally understood as a nucleated polymerization reaction. However, detailed analysis of experimental observation has revealed recently that nucleation pathways generate growth-competent nuclei via a cascade of metastable intermediate species, which are omitted in conventional models of filamentous growth based on classical nucleation theory. Here we take an analytical approach to generalizing the classical theory of nucleated polymerization to include the formation of these prenucleation clusters, providing a quantitative general classification of the behavior exhibited by these nucleation-conversion-polymerization reactions. A phase diagram is constructed, and analytical predictions are derived for key experimental observables. Using this approach, we delineate the characteristic time scales that determine the nature of biopolymer growth phenomena.",not relevant,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, PLOS ONE," Fouqueray, TD   Blumstein, DT   Monclus, R   Martin, JGAAF Fouqueray, Timothee D.   Blumstein, Daniel T.   Monclus, Raquel   Martin, Julien G. A.", Maternal Effects on Anogenital Distance in a Wild Marmot Population,9,2014," In mammals, prenatal exposure to sex steroid hormones may have profound effects on later behavior and fitness and have been reported under both laboratory and field conditions. Anogenital distance is a non-invasive measure of prenatal exposure to sex steroid hormones. While we know that intra-uterine position and litter sex ratio influence anogenital distance, there are other, heretofore unstudied, factors that could influence anogenital distance, including maternal effects. We capitalized on a long-term study of wild yellow-bellied marmots (Marmota flaviventris) to study the importance of maternal effects on explaining variation in anogenital distance and found significant effects. The strength of these effects varied annually. Taken together, our data highlights the strong variability due to environmental effects, and illustrates the importance of additive genetic and maternal genetic effects on neonatal anogenital distance. We suspect that, as others apply recently popularised quantitative genetic techniques to study free-living populations, such effects will be identified in other systems.",not behavior,Marmota flaviventris,yellow-bellied marmots,Mammalia,,,not behavior,no,,,,,,,,,,,,,,,,m,,not human
 J, MOLECULAR AUTISM," Trent, S   Fry, JP   Ojarikre, OA   Davies, WAF Trent, Simon   Fry, Jonathan P.   Ojarikre, Obah A.   Davies, William", Altered brain gene expression but not steroid biochemistry in a genetic   mouse model of neurodevelopmental disorder,5,2014," Background: The 39, X-Y* O mouse, which lacks the orthologues of the ADHD and autism candidate genes STS (steroid sulphatase) and ASMT (acetylserotonin O-methyltransferase), exhibits behavioural phenotypes relevant to developmental disorders. The neurobiology underlying these phenotypes is unclear, although there is evidence for serotonergic abnormalities in the striatum and hippocampus.   Methods: Using microarray and quantitative gene expression analyses, and gas chromatography-mass spectrometry, we compared brain gene expression and steroid biochemistry in wildtype (40, XY) and 39, XY* O adult mice to identify non-obvious genetic and endocrine candidates for between-group differences in behaviour and neurochemistry. We also tested whether acute STS inhibition by COUMATE in wildtype (40, XY) adult male mice recapitulated any significant gene expression or biochemical findings from the genetic comparison. Data were analysed by unpaired t-test or Mann Whitney U-test depending on normality, with a single factor of KARYOTYPE.   Results: Microarray analysis indicated seven robust gene expression differences between the two groups (Vmn2r86, Sfil, Pisd-ps1, Tagap1, C1qc, Metap1d, Erdr1); Erdr1 and C1qc expression was significantly reduced in the 39, XY* O striatum and hippocampus, whilst the expression of Dhcr7 (encoding 7-dehydrocholesterol reductase, a modulator of serotonin system development), was only reduced in the 39, X-Y* O hippocampus. None of the confirmed gene expression changes could be recapitulated by COUMATE administration. We detected ten free, and two sulphated steroids in 40, XY and 39, XY* O brain; surprisingly, the concentrations of all of these were equivalent between groups.   Conclusions: Our data demonstrate that the mutation in 39, X-Y* O mice: i) directly disrupts expression of the adjacent Erdr1 gene, ii) induces a remarkably limited suite of downstream gene expression changes developmentally, with several of relevance to associated neurobehavioural phenotypes and iii) does not elicit large changes in brain steroid biochemistry. It is possible that individuals with STS/ASMT deficiency exhibit a similarly specific pattern of gene expression changes to the 39, X-Y* O mouse, and that these contribute towards their abnormal neurobiology. Future work may focus on whether complement pathway function, mitochondrial metabolism and cholesterol biosynthesis pathways are perturbed in such subjects.",not relevant,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, ECOLOGY AND EVOLUTION," Class, B   Kluen, E   Brommer, JEAF Class, Barbara   Kluen, Edward   Brommer, Jon E.", Evolutionary quantitative genetics of behavioral responses to handling   in a wild passerine,4,2014,"Behavioral differences between individuals that are consistent over time characterize animal personality. The existence of such consistency contrasts to the expectation based on classical behavioral theory that facultative behavior maximizes individual fitness. Here, we study two personality traits (aggression and breath rate during handling) in a wild population of blue tits during 2007–2012. Handling aggression and breath rate were moderately heritable (h2 = 0.35 and 0.20, respectively) and not genetically correlated (rA = 0.06) in adult blue tits, which permits them to evolve independently. Reciprocal cross‐fostering (2007–2010) showed that offspring reared by more aggressive males have a higher probability to recruit. In addition, offspring reared by pairs mated assortatively for handling aggression had a higher recruitment probability, which is the first evidence that both parents' personalities influence their reproductive success in the wild in a manner independent of their genetic effects. Handling aggression was not subjected to survival selection in either sex, but slow‐breathing females had a higher annual probability of survival as revealed by capture–mark–recapture analysis. We find no evidence for temporal fluctuations in selection, and thus conclude that directional selection (via different fitness components) acts on these two heritable personality traits. Our findings show that blue tit personality has predictable fitness consequences, but that facultative adjustment of an individual's personality to match the fitness maximum is likely constrained by the genetic architecture of personality. In the face of directional selection, the presence of heritable variation in personality suggests the existence of a trade‐off that we have not identified yet.",looked at aggression and did cross fostering to show that aggressive males have offspring more likely to recruit. both parents' personalities influence their reproductive success in the wild. ,Cyanistes caeruleus,blue tits,Aves,cross-fostering and heritability estimates in wild population,cross-foster,good example of cross-fostering and personality,skim,x,,,,,,,,,,,,,,,,,not human
 J, INTERNATIONAL JOURNAL OF PRIMATOLOGY," Blomquist, GE   Brent, LJNAF Blomquist, Gregory E.   Brent, Lauren J. N.", Applying Quantitative Genetic Methods to Primate Social Behavior,35,2014," Increasingly, behavioral ecologists have applied quantitative genetic methods to investigate the evolution of behaviors in wild animal populations. The promise of quantitative genetics in unmanaged populations opens the door for simultaneous analysis of inheritance, phenotypic plasticity, and patterns of selection on behavioral phenotypes all within the same study. In this article, we describe how quantitative genetic techniques provide studies of the evolution of behavior with information that is unique and valuable. We outline technical obstacles for applying quantitative genetic techniques that are of particular relevance to studies of behavior in primates, especially those living in noncaptive populations, e.g., the need for pedigree information, non-Gaussian phenotypes, and demonstrate how many of these barriers are now surmountable. We illustrate this by applying recent quantitative genetic methods to spatial proximity data, a simple and widely collected primate social behavior, from adult rhesus macaques on Cayo Santiago. Our analysis shows that proximity measures are consistent across repeated measurements on individuals (repeatable) and that kin have similar mean measurements (heritable). Quantitative genetics may hold lessons of considerable importance for studies of primate behavior, even those without a specific genetic focus.",outline technical obstacles for applying quantitative genetic techniques to behavior of primates especially in the wild.,Macaca mulatta,rhesus macaques,Mammalia,review/position paper,,demonstrate how barriers are surmountable -good example of getting around technical issues.,skim,,,,,,,,,,,,,,,,,,not human
 J, INTERNATIONAL JOURNAL OF PRIMATOLOGY," Adams, MJAF Adams, Mark James", Feasibility and Uncertainty in Behavior Genetics for the Nonhuman   Primate,35,2014," The analysis of phenotypic covariances among genetically related individuals is the basis for estimations of genetic and phenotypic effects on phenotypes. Beyond heritability, there are several other estimates that can be made with behavior genetic models of interest to primatologists. Some of these estimates are feasible with primate samples because they take advantage of the types of relatives available to compare in primate species and because most behaviors are expressed orders of magnitude more often and in a greater variety of contexts than morphological or life-history traits. The hypotheses that can be tested with these estimates are contrasted with hypotheses that will be difficult to achieve in primates because of sample size limitations. Feasible comparisons include the proportion of variance from interaction effects, the variation of genetic effects across environments, and the genetics of growth and development. Simulation shows that uncertainty of genetic parameters can be reduced by sampling each individual more than once. Because sample sizes are likely to remain relatively small in most primate behavior genetics, expressing uncertainty in parameter estimates is needed to move our inferences forward.",need to express uncertainty in parameter estimates in primate studies due to small sample sizes. sampling individuals multiple times helps,primates,primates,Mammalia,review and simulation,,"this is not particularly useful, basically sample size discussion Arnold has in Boake book.",no,,,,,,,,,,,,,,,,,,not human
 J, INTERNATIONAL JOURNAL OF PRIMATOLOGY," Brent, LJN   Semple, S   MacLarnon, A   Ruiz-Lambides, A   Gonzalez-Martinez, J   Platt, MLAF Brent, Lauren J. N.   Semple, Stuart   MacLarnon, Ann   Ruiz-Lambides, Angelina   Gonzalez-Martinez, Janis   Platt, Michael L.", Personality Traits in Rhesus Macaques (Macaca mulatta) Are Heritable but   Do Not Predict Reproductive Output,35,2014," There is growing evidence that behavioral tendencies, or ""personalities,"" in animals are an important aspect of their biology, yet their evolutionary basis is poorly understood. Specifically, how individual variation in personality arises and is subsequently maintained by selection remains unclear. To address this gap, studies of personality require explicit incorporation of genetic information. Here, we explored the genetic basis of personality in rhesus macaques by determining the heritability of personality components and by examining the fitness consequences of those components. We collected observational data for 108 adult females living in three social groups in a free-ranging population via focal animal sampling. We applied principal component analysis to nine spontaneously occurring behaviors and identified six putative personality components, which we named Meek, Bold, Aggressive, Passive, Loner, and Nervous. All components were repeatable and heritable, with heritability estimates ranging from 0.14 to 0.35. We found no evidence of an association with reproductive output, measured either by infant survival or by interbirth interval, for any of the personality components. This finding suggests either that personality does not have fitness-related consequences in this population or that selection has acted to reduce fitness-associated variation in personality.",heritability of personality components and fitness consequences,Macaca mulatta,rhesus macaques,Mammalia,observational data and PCA - unclear how heritability was estimated,pedigree,found null results: personality does not have fitness-related consequences but it is heritable,skim,x,,,,,,,,,,,,,,,,,not human
